"","ref_number","prefix","property_name","state","county","city","street_number","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","external_link","level_of_significance_international","level_of_significance_national","level_of_significance_state","level_of_significance_local","level_of_significance_not_indicated","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name","address","latitude","longitude"
"90","09001238",NA,"Sanitarium Lake Bridges Historic District","Arkansas","Carroll","Eureka Springs","Carroll Co. Rd. 317, approx. .5 mi. S. of Greenwood Hollow Rd.","Listed","Multiple",FALSE,0.9,"Engineering; Transportation","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2010-01-19,NA,"Bridges #10955 &amp; #10956; Marble Bridge &amp; Lake St. Bridge; Site #CR2110 &amp; CR2112",NA,"09001238","Sanitarium Lake Bridges","Sanitarium Lake Bridges Historic District, Carroll, Arkansas",36.34102,-93.53818
"91","10000789",NA,"Dermott Commercial Historic District","Arkansas","Chicot","Dermott","101-120 N. Freeman; 101-219 E. Iowa St. and 131 N. Main St.","Listed","Single",FALSE,4.2,"Commerce","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2010-09-23,NA,"CH0019-CH0021; CH0024; CH0025; CH0030; CH0190-CH0213",NA,"10000789","Dermott Commercial","Dermott Commercial Historic District, Chicot, Arkansas",33.524937,-91.433234
"92","11000025",NA,"Lake Village Commercial Historic District","Arkansas","Chicot","Lake Village","Roughly bounded by Lakeshore Dr, Jackson St, Chicot St, and Church St","Listed","Single",FALSE,5.9,"Architecture; Commerce","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2011-02-18,NA,NA,NA,"11000025","Lake Village Commercial","Lake Village Commercial Historic District, Chicot, Arkansas",33.3309708,-91.2817058
"93","11000464",NA,"Arkadelphia Commercial Historic District","Arkansas","Clark","Arkadelphia","Roughly Main St. between 5th & 7th Sts., & Clinton St between 6th & 9th Sts.","Listed","Single",FALSE,7,"Commerce","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2011-07-20,NA,NA,NA,"11000464","Arkadelphia Commercial","Arkadelphia Commercial Historic District, Clark, Arkansas",34.120959,-93.053523
"94","100008977","RS","Henderson State University Historic District","Arkansas","Clark","Arkadelphia","1100 Henderson St.","Listed","Resubmission",FALSE,30,"Education","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2023-08-08,NA,NA,NA,"100008977","Henderson State University","Henderson State University Historic District, Clark, Arkansas",34.1259012,-93.0598946
"95","09000867",NA,"Piggott Commercial Historic District","Arkansas","Clay","Piggott","Roughly bounded on the N. by W. Cherry on the South by W. Court, on the E. by S. Throgmorton and the W. by Clay","Listed","Single",FALSE,20,"Architecture; Community Planning And Development; Commerce","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2009-11-04,NA,"Site #CY0211",NA,"09000867","Piggott Commercial","Piggott Commercial Historic District, Clay, Arkansas",34.2954174,-91.3344488
"96","09000369","AD","Rector Commercial Historic District","Arkansas","Clay","Rector","Bounded by St. Louis and Southwestern Railroad tracks on the E. and S., S. Dodd on the W., 3rd St. on the N.","Listed","Add.doc.",FALSE,11.4,"Community Planning And Development; Commerce; Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2009-06-01,NA,NA,NA,"09000369","Rector Commercial","Rector Commercial Historic District, Clay, Arkansas",34.2954174,-91.3344488
"97","09000266",NA,"Heber Springs Commercial Historic District","Arkansas","Cleburne","Heber Springs","100, 200 blocks E. Main St., 100-500 blocks of W. Main St., 100 block of N. and S. 3rd and N. and S. 4th Sts.","Listed","Single",FALSE,31.5,"Architecture; Commerce; Community Planning And Development; Entertainment/Recreation","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2009-05-01,NA,NA,NA,"09000266","Heber Springs Commercial","Heber Springs Commercial Historic District, Cleburne, Arkansas",35.491487,-92.030201
"98","01001118",NA,"New Edinburg Commercial Historic District","Arkansas","Cleveland","New Edinburg","AR 8","Listed","Single",FALSE,5.3,"Architecture; Exploration/Settlement","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2001-10-22,NA,NA,NA,"01001118","New Edinburg Commercial","New Edinburg Commercial Historic District, Cleveland, Arkansas",33.757468,-92.238609
"99","09001240",NA,"Cross And Nelson Hall Historic District","Arkansas","Columbia","Magnolia","Southern Arkansas University Campus at 100 E. University","Listed","Multiple",FALSE,3,"Education; Social History","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2010-01-20,NA,"Boy's Dormitory and Girl's Dormatory; Site #CO0427-CO0428; Student Services Building",NA,"09001240","Cross And Nelson Hall","Cross And Nelson Hall Historic District, Columbia, Arkansas",36.32662798107,-92.388603981765
"100","12001231",NA,"Dolph Camp, Bussey And Peace Halls Historic District","Arkansas","Columbia","Magnolia","E. side of Lane Dr., Southern Arkansas University","Listed","Single",FALSE,3.5,"Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2013-01-29,NA,"Site # CO0506-CO0508",NA,"12001231","Dolph Camp, Bussey And Peace Halls","Dolph Camp, Bussey And Peace Halls Historic District, Columbia, Arkansas",33.155365,-93.449554
