museum_url,category,museum_name,street_address,state,country,full_address,website_link,latitude,longitude
https://whichmuseum.com/museum/reeves-reed-arboretum-summit-32094,Nature & Natural History,Reeves-Reed Arboretum,165 Hobart Ave,New Jersey,United States,"165 Hobart Ave, New Jersey, United States",https://reeves-reedarboretum.org/,40.2210049,-74.730482
https://whichmuseum.com/museum/monterey-state-historic-park-32096,History & Anthropology,Monterey State Historic Park,20 Custom House Plaza,California,United States,"20 Custom House Plaza, California, United States",https://www.parks.ca.gov/?page_id=575,36.6024421,-121.894052
https://whichmuseum.com/museum/john-c-gifford-arboretum-coral-gables-32097,Nature & Natural History,John C. Gifford Arboretum,"Cox Science Building, 1301 Memorial Dr",Florida,United States,"Cox Science Building, 1301 Memorial Dr, Florida, United States",https://arboretum.as.miami.edu/,25.7221815,-80.2795606
https://whichmuseum.com/museum/farnsworth-art-museum-rockland-10919,Art & Design,Farnsworth Art Museum,Museum Street 16,Maine,United States,"Museum Street 16, Maine, United States",https://www.farnsworthmuseum.org,44.1034621,-69.1094394
https://whichmuseum.com/museum/arab-american-national-museum-dearborn-11048,History & Anthropology,Arab American National Museum,Michigan Avenue,Michigan,United States,"Michigan Avenue, Michigan, United States",https://arabamericanmuseum.org/,42.326482,-83.1610851
https://whichmuseum.com/museum/maritime-heritage-center-w-t-preston-anacortes-12052,History & Anthropology,Maritime Heritage Center & W.T. Preston,703 R Ave,Washington,United States,"703 R Ave, Washington, United States",https://www.anacorteswa.gov/422/Maritime-Heritage-Center-and-the-WT-Pres,48.4934043,-122.6096044
https://whichmuseum.com/museum/a-e-backus-museum-gallery-fort-pierce-13000,Art & Design,A.E Backus Museum & Gallery,500 N. Indian River Drive,Florida,United States,"500 N. Indian River Drive, Florida, United States",https://www.backusmuseum.org/,27.4897757,-80.3360304
https://whichmuseum.com/museum/michael-c-carlos-museum-druid-hills-13172,Art & Design,Michael C. Carlos Museum,South Kilgo Circle NE 571,Georgia,United States,"South Kilgo Circle NE 571, Georgia, United States",http://carlos.emory.edu,33.7899976,-84.3246629
https://whichmuseum.com/museum/wheatonarts-millville-13227,Art & Design,WheatonArts,1000 Village Dr,New Jersey,United States,"1000 Village Dr, New Jersey, United States",http://www.wheatonarts.org,40.4435187,-74.5291509
https://whichmuseum.com/museum/cedar-key-museum-state-park-13259,History & Anthropology,Cedar Key Museum State Park,Southwest 166th Court,Florida,United States,"Southwest 166th Court, Florida, United States",https://www.floridastateparks.org/parks-and-trails/cedar-key-museum-state-park,25.7039854,-80.462319
https://whichmuseum.com/museum/crystal-river-archaeological-state-park-13261,History & Anthropology,Crystal River Archaeological State Park,3400 N Museum Point,Florida,United States,"3400 N Museum Point, Florida, United States",https://www.floridastateparks.org/parks-and-trails/crystal-river-archaeological-state-park,28.916361,-82.627837
https://whichmuseum.com/museum/muckenthaler-cultural-center-fullerton-16337,Art & Design,Muckenthaler Cultural Center,1201 W Malvern Ave,California,United States,"1201 W Malvern Ave, California, United States",http://themuck.org/,33.8747404,-117.9388719
https://whichmuseum.com/museum/u-s-bicycling-hall-of-fame-davis-16429,Science & Technology,U.s. Bicycling Hall of Fame,303 3rd St,California,United States,"303 3rd St, California, United States",http://www.usbhof.org/,33.8573313,-118.3913031
https://whichmuseum.com/museum/old-house-cutchogue-31980,History & Anthropology,Old House,355 Cases Ln,New York,United States,"355 Cases Ln, New York, United States",NA,41.0083991,-72.4856967
https://whichmuseum.com/museum/museum-of-printing-haverhill-31981,Science & Technology,Museum of Printing,15 Thornton Ave,Massachusetts,United States,"15 Thornton Ave, Massachusetts, United States",https://museumofprinting.org,42.7728423,-71.1208851
