Name,Street Address,City,State,PostalCode,Latitude,Longitude
Adirondack History Centre Museum,Route 9n And Hand Avenue,Elizabethtown,NY,12932,44.21616,-73.590965
Pineville Old Town Hall Museum,731 Main St,Pineville,LA,71360,31.321642,-92.43514
Philadelphia History Museum,3500 Scotts Ln,Philadelphia,PA,19129,40.00838,-75.185455
Schneider Museum of Art,1250 Siskiyou Blvd,Ashland,OR,97520,42.186436,-122.69426
Wyandotte Museum Quilters,2610 Biddle Ave,Wyandotte,MI,48192,42.2074,-83.148674
Boulder Museum of Contemporary Art,1750 13th St,Boulder,CO,80302,40.01513,-105.27742
Museum of Pop Culture,325 5th Ave N,Seattle,WA,98109,47.62149,-122.3478
Lehigh Valley Heritage Museum,245 S 2nd St,Coplay,PA,18037,40.66882,-75.4887
Amory Regional Museum,801 3rd St S,Amory,MS,38821,33.9821,-88.4649
Metamora Museum of Oddities,S Main St,Metamora,IN,47030,39.44581,-85.12816
Hostetlers Hudson Auto Museum,760 S Van Buren St,Shipshewana,IN,46565,41.66728,-85.58061
Wo Hing Temple Museum,858 Front St,Lahaina,HI,96761,20.876333,-156.6805
Pavek Museum of Broadcasting,3515 Raleigh Ave,Minneapolis,MN,55416,44.93954,-93.344086
Field Museum of Natural History,1400 S Lake Shore Dr,Chicago,IL,60605,41.865055,-87.61736
Peary-Mac Millan Arctic Museum,9500 College Sta,Brunswick,ME,04011,43.906605,-69.96254
Museum of Indian Arts and Culture,710 Camino Lejo,Santa Fe,NM,87505,35.66466,-105.92696
Riverside Metropolitan Museum,3580 Mission Inn Ave,Riverside,CA,92501,33.98228,-117.37239
Cassia Historical Society Museum,1142 Hiland Ave,Burley,ID,83318,42.537853,-113.783585
Great Plains Wing Museum,16803 Mccandless Ln,Council Bluffs,IA,51503,41.264317,-95.7657
Northern Drylanders Museum,755 3rd St,Nunn,CO,80648,40.70478,-104.78241
American Clock & Watch Museum,100 Maple St,Bristol,CT,06010,41.6795,-72.94098
Garibaldi Meucci Museum,420 Tompkins Ave,Staten Island,NY,10305,40.615433,-74.07367
The Museum Company,239 W 42nd St,New York,NY,10036,40.7569,-73.9886
Barnwell County Museum,Marlboro Ave,Barnwell,SC,29812,33.20485,-81.355896
Lake Winnipesaukee Museum,503 Endicott St N,Laconia,NH,03246,43.610397,-71.47333
Bowers Science Museum,356 Bowers Hall,Cortland,NY,13045,42.60896,-76.1772
Museum of the Free People of Color,2336 Esplanade Ave,New Orleans,LA,70119,29.973703,-90.0752
Museums at the Cross Roads,600 N Route 47,Mahomet,IL,61853,40.2012,-88.3939
4-H Schoolhouse Museum,119 9th St SW,Clarion,IA,50525,42.731388,-93.74415
The Children's Museum of Cleveland,3813 Euclid Ave,Cleveland,OH,44115,41.503513,-81.66019
Discovery Museum,101 I St,Sacramento,CA,95814,38.584595,-121.50444
African Roots Museum,12704 Highway 19 W,Ripley,TN,38063,35.767857,-89.74174
Mid America Air Museum,514 Nebraska St,Sioux City,IA,51101,42.495533,-96.40329
Morgan Town Glass Museum,1628 Mileground Rd,Morgantown,WV,26505,39.641796,-79.93275
Dorfman Museum Figures,6224 Holabird Ave,Baltimore,MD,21224,39.27236,-76.539856
Altamont Living Museum,102 S Main St,Altamont,IL,62411,39.058636,-88.74814
Patsy Cline Museum,119 3rd Ave S  2nd Level,Nashville,TN,37201,36.1629,-86.776
The Museum of Newport Irish History,20 Lincoln St,Newport,RI,02840,41.495495,-71.30671
Western Pa Sports Museum,1212 Smallman St,Pittsburgh,PA,15222,40.446396,-79.99275
Children's Museum of Manhattan,212 W 38th St,New York,NY,10018,40.753597,-73.98931
R E Powell Museum,313 Division St,Grandview,WA,98930,46.25296,-119.90175
Heritage Village Museum,268 Us Highway 190,Woodville,TX,75979,30.7669,-94.399
Railroad Depot Museum,125 N Main St,Hebron,IN,46341,41.31959,-87.19983
REACH Museum,1943 Columbia Park Trl,Richland,WA,99352,46.23751,-119.21855
Ogunquit Heritage Museum,86 Obeds Ln,Ogunquit,ME,03907,43.244434,-70.60058
Museum Services Incorporated,2921 Como Ave SE,Minneapolis,MN,55414,44.988148,-93.21188
Moody Mansion Museum,2618 Broadway St,Galveston,TX,77550,29.29931,-94.7959
Yager Museum of Art & Culture,1 Hartwick Dr,Oneonta,NY,13820,42.46089,-75.070206
Deland Memorial Museum,230 N Stone St,Deland,FL,32720,29.030708,-81.31615
Healdsburg Museum,221 Matheson St,Healdsburg,CA,95448,38.610935,-122.86791
Museum of Anthropology,1834 Reynolda Rd,Winston Salem,NC,27106,36.11854,-80.279205
Mill House Museum,163 Cross St,Cooleemee,NC,27014,35.813248,-80.55614
Fryxell Geology Museum,820 38th Ave,Rock Island,IL,61201,41.47314,-90.5878
Nordica Homestead Museum,Nordica Lane,Farmington,ME,04938,44.69793,-70.146996
CCC Museum of South Dakota,23935 Highway 385,Hill City,SD,57745,43.93948,-103.554985
St Marys Square Museums,409 Saint Michaels Rd,Saint Michaels,MD,21663,38.770184,-76.207146
The Discovery Museums,177 Main St,Acton,MA,01720,42.464752,-71.45633
Withers Collection Museum,333 Beale St,Memphis,TN,38103,35.139256,-90.05038
Lake of the Red Cedars Museum,7408 Constitution Ave,Cedar Lake,IN,46303,41.36802,-87.42441
Louisiana Swamp Pop Museum,205 Railroad St,Ville Platte,LA,70586,30.680515,-92.277985
Dowagiac Area History Museum,201 E Division St,Dowagiac,MI,49047,41.98385,-86.10572
Agricultural & Industrial Museum,217 E Princess St,York,PA,17403,39.96112,-76.72205
Andrew Volstead House Museum,163 9th Ave,Granite Falls,MN,56241,44.809296,-95.54004
Family Museum,2900 Learning Campus Dr,Bettendorf,IA,52722,41.55204,-90.50257
Port O'Plymouth Museum,302 E Water St,Plymouth,NC,27962,35.868946,-76.74671
Heritage Park Museum,111 N 4th St,Kremmling,CO,80459,40.059216,-106.39138
Hood River County Museum,300 E Port Marina Dr,Hood River,OR,97031,45.710766,-121.50663
Flaten Art Museum,1520 Saint Olaf Ave,Northfield,MN,55057,44.46047,-93.180916
Tennessee State Museum,1000 Rosa L Parks Blvd,Nashville,TN,37208,36.171524,-86.79011
Mason County Museum,215 Sutton St,Maysville,KY,41056,38.64842,-83.76666
