"Name","Latitude","Longitude","capacity"
"Ryan Center",41.4876846,-71.535759,8000
"Sadlon Arena",44.3389820687875,-79.6779584884644,4195
"Salem Civic Center",37.2854196,-80.0393164,5000
"Sanford Center",47.463256,-94.8535752,4373
"Sanford Coyote Sports Center",42.7901809,-96.9278133,6003
"Santander Arena",40.334752,-75.9231019,7200
"SAP Center",37.3326993,-121.9012284,17562
"Savage Arena",41.6601363,-83.6098623,7014
"Save Mart Center",36.8096926,-119.7385365,15596
"Save-On-Foods Memorial Centre",48.4316423,-123.3605754,NA
"Schar Center",36.107942,-79.5108683,5100
"Scheels Arena",46.835367,-96.8752313,4000
"Scheels Center",46.9003461,-96.7987293,5460
"SECU Arena",39.3874032,-76.6171047,5200
"Selland Arena",36.7329428,-119.7826749,8317
