Name,Address,Latitude,Longitude,Phone,Email,Website,Website Label,Business Hours,Image URL,Description,Hyperlink,Hyperlink Label,Priority,Active
Fertitta Center,,29.724685,-95.3469837,,,,,,,,,,,TRUE
F.G. Clark Activity Center,,30.5217608,-91.1854076,,,,,,,,,,,TRUE
Fifth Third Arena,,39.1311672,-84.5141316,,,,,,,,,,,TRUE
Findlay Toyota Center,,34.5891633,-112.3361921,,,,,,,,,,,TRUE
Finneran Pavilion,,40.0340591,-75.3365082,,,,,,,,,,,TRUE
First Bank & Trust Arena,,44.3185096,-96.7787683,,,,,,,,,,,TRUE
First Horizon Coliseum,,36.0597852,-79.8256732,,,,,,,,,,,TRUE
First Interstate Arena,,45.800295,-108.477559,,,,,,,,,,,TRUE
First Interstate Bank Center,,44.2356504,-121.1839539,,,,,,,,,,,TRUE
First National Bank Arena,,35.8454216,-90.6704664,,,,,,,,,,,TRUE
First United Bank Center,,34.9809421,-101.9039869,,,,,,,,,,,TRUE
Fiserv Forum,,43.0451583,-87.917431,,,,,,,,,,,TRUE
Fishers Event Center,,39.9474538,-86.0036005,,,,,,,,,,,TRUE
Fitzgerald Field House,,40.4434851,-79.9641824,,,,,,,,,,,TRUE
Fleet Farm Arena,,42.4913558,-96.4072931,,,,,,,,,,,TRUE
Florence Civic Center,,34.1854648,-79.8377538,,,,,,,,,,,TRUE
Fogelman Arena,,29.9390935,-90.1207155,,,,,,,,,,,TRUE
Food City Center,,35.9511214,-83.9250219,,,,,,,,,,,TRUE
Forbes Arena,,33.7484809,-84.4170839,,,,,,,,,,,TRUE
Ford Arena,,30.0110135,-94.1796614,,,,,,,,,,,TRUE
Ford Center,,37.9719608,-87.5675905,,,,,,,,,,,TRUE
Ford Idaho Center,,43.6080375,-116.507982,,,,,,,,,,,TRUE
Foster Auditorium,,33.2077267,-87.5439334,,,,,,,,,,,TRUE
Foster Pavilion,,31.5562473,-97.121077,,,,,,,,,,,TRUE
Fowler Events Center,,33.926833,-117.4223572,,,,,,,,,,,TRUE
Frank G. Lumpkin Jr. Center,,32.5024509,-84.940179,,,,,,,,,,,TRUE
Freedom Hall Civic Center,,36.3243402,-82.3749948,,,,,,,,,,,TRUE
Freeman Coliseum,,29.4270603,-98.4394046,,,,,,,,,,,TRUE
Frericks Center,,39.7388745,-84.1790057,,,,,,,,,,,TRUE
Frontwave Arena,,33.2075872,-117.3147584,,,,,,,,,,,TRUE
Frost Bank Center,,29.4269831,-98.4374785,,,,,,,,,,,TRUE
Gainbridge Fieldhouse,,39.7639336363685,-86.1554503440857,,,,,,,,,,,TRUE
Galen Center,,34.0209817,-118.2798761,,,,,,,,,,,TRUE
Gallagher-Iba Arena,,36.1256913,-97.0650029,,,,,,,,,,,TRUE
Gampel Pavilion,,41.8052698,-72.2543979,,,,,,,,,,,TRUE
Garrett Coliseum,,32.4029865,-86.2712212,,,,,,,,,,,TRUE
Gas South Arena,,33.9914093,-84.0939796,,,,,,,,,,,TRUE
Gateway Center Arena,,33.6467689,-84.4597362,,,,,,,,,,,TRUE
Gene Polisseni Center,,43.0872489,-77.6819874,,,,,,,,,,,TRUE
Gentile Arena,,42.0004129,-87.6588821,,,,,,,,,,,TRUE
Gentry Center,,36.1690438,-86.829468,,,,,,,,,,,TRUE
George Gervin GameAbove Center,,42.2542281,-83.6473918,,,,,,,,,,,TRUE
Georges-Vézina Centre,,48.4197669,-71.0600639,,,,,,,,,,,TRUE
Georgia State Convocation Center,,33.7422867,-84.3882301,,,,,,,,,,,TRUE
Georgia State Sports Arena,,33.7515962,-84.3863323,,,,,,,,,,,TRUE
Gersten Pavilion,,33.9676772,-118.4156173,,,,,,,,,,,TRUE
Gervais Auto Centre,,46.5477122,-72.7450061,,,,,,,,,,,TRUE
GFL Memorial Gardens,,46.5135156,-84.3367624,,,,,,,,,,,TRUE
Giant Center,,40.2863108,-76.6689063,,,,,,,,,,,TRUE
Gill Coliseum,,44.5611203,-123.2804525,,,,,,,,,,,TRUE
Global Credit Union Arena,,33.5100819,-112.1289003,,,,,,,,,,,TRUE
Golden1 Center,,38.5808401,-121.4997553,,,,,,,,,,,TRUE
Grand Casino Arena,,44.9447691,-93.1012559,,,,,,,,,,,TRUE
Great Southern Bank Arena,,37.2020477,-93.2830882,,,,,,,,,,,TRUE
Greenfield Central HS Gym,,39.7917364,-85.7811327,,,,,,,,,,,TRUE
Greensburg High School Gym,,39.3413937,-85.4681657,,,,,,,,,,,TRUE
Gregory Gym,,30.2841963,-97.7364778,,,,,,,,,,,TRUE
Greyhound Arena,,34.1801662,-103.3514893,,,,,,,,,,,TRUE
Groniger Arena,,39.4804356,-88.1788552,,,,,,,,,,,TRUE
Grossinger Motors Arena,,40.4781374,-88.9961755,,,,,,,,,,,TRUE
Gross Memorial Coliseum,,38.8717317,-99.3483675,,,,,,,,,,,TRUE
Gutterson Fieldhouse,,44.4692895,-73.194201,,,,,,,,,,,TRUE
GVSU Fieldhouse Arena,,42.9669434,-85.8897615,,,,,,,,,,,TRUE
Haas Pavilion,,37.8693653,-122.2623611,,,,,,,,,,,TRUE
Hagan Arena,,39.9952379,-75.2347505,,,,,,,,,,,TRUE
Halenbeck Hall,,45.5475815,-94.1524887,,,,,,,,,,,TRUE
Hammons Student Center,,37.202193,-93.2844615,,,,,,,,,,,TRUE
Hanner Fieldhouse,,32.4277076,-81.7792332,,,,,,,,,,,TRUE
Harding Mazzotti Arena,,43.3081449,-73.6418027,,,,,,,,,,,TRUE
Hart Center,,42.2351148,-71.8060827,,,,,,,,,,,TRUE
Halton Arena,,35.3062301,-80.7344377,,,,,,,,,,,TRUE
Health and Physical Education Arena,,29.7229985,-95.365609,,,,,,,,,,,TRUE
Health and Sports Center,,40.7001541,-99.1001451,,,,,,,,,,,TRUE
Hearnes Center,,38.9342846,-92.3306251,,,,,,,,,,,TRUE
Heartland Events Center,,40.905475,-98.3298552,,,,,,,,,,,TRUE
Heartland Credit Union Arena,,37.8310469,-97.3313533,,,,,,,,,,,TRUE
HEB Center at Cedar Park,,30.5414031,-97.8201521,,,,,,,,,,,TRUE
Herb Brooks Arena,,44.284193,-73.9850932,,,,,,,,,,,TRUE
Herb Brooks National Hockey Center,,45.5467625,-94.1524136,,,,,,,,,,,TRUE
Heritage Bank Center,,39.0980278,-84.5043897,,,,,,,,,,,TRUE
Hersheypark Arena,,40.2881174,-76.6565734,,,,,,,,,,,TRUE
Hertz Arena,,26.4401242,-81.7786593,,,,,,,,,,,TRUE
Hill Convocation Center,,32.4063324,-81.7829837,,,,,,,,,,,TRUE
Hilliard Center,,27.8072326848586,-97.3934769630432,,,,,,,,,,,TRUE
Hilton Coliseum,,42.0209958,-93.6348224,,,,,,,,,,,TRUE
Hinkle Fieldhouse,,39.8436369,-86.1673863,,,,,,,,,,,TRUE
Hirsch Coliseum,,32.4766685,-93.7894034,,,,,,,,,,,TRUE
Hitachi Energy Arena,,36.9339301,-80.9894952,,,,,,,,,,,TRUE
Hobdy Assembly Center,,32.5203831,-92.7237458,,,,,,,,,,,TRUE
Holmes Center,,36.2104418,-81.6757,,,,,,,,,,,TRUE
Honda Center,,33.8076345,-117.876327,,,,,,,,,,,TRUE
Hope Coliseum,,39.6493191,-79.9815845,,,,,,,,,,,TRUE
Houston Field House,,42.7320485,-73.6694992,,,,,,,,,,,TRUE
HPE Complex,,32.5327489,-83.8975454,,,,,,,,,,,TRUE
HPER Complex,,33.5105515,-90.3409732,,,,,,,,,,,TRUE
Huff Hall,,40.1035321,-88.2327569,,,,,,,,,,,TRUE
Hulman Center,,39.4685101,-87.4050808,,,,,,,,,,,TRUE
Humphrey Coliseum,,33.4616772,-88.7940359,,,,,,,,,,,TRUE
Huntington Center,,41.6511022,-83.5367131,,,,,,,,,,,TRUE
Huron Arena,,44.3605213,-98.2165986,,,,,,,,,,,TRUE
Hutchinson Sports Arena,,38.065612,-97.9160465,,,,,,,,,,,TRUE
ICCU Arena,,46.7274439,-117.0174105,,,,,,,,,,,TRUE
Ice Arena at The Monument,,44.0870533,-103.2252324,,,,,,,,,,,TRUE
Ice Box,,40.8328641,-96.6973042,,,,,,,,,,,TRUE
Idaho Central Arena,,43.614248,-116.2043078,,,,,,,,,,,TRUE
ImOn Ice Arena,,41.9658484,-91.6885258,,,,,,,,,,,TRUE
Ingalls Rink,,41.3168355,-72.925036,,,,,,,,,,,TRUE
INTRUST Bank Arena,,37.6833618,-97.3319685,,,,,,,,,,,TRUE
Intuit Dome,,33.9437591,-118.3422231,,,,,,,,,,,TRUE
Island Federal Credit Union Arena,,40.917392,-73.1259978,,,,,,,,,,,TRUE
Jack Stephens Center,,34.7284312,-92.3406136,,,,,,,,,,,TRUE
Jadwin Gymnasium,,40.3433878,-74.6486449,,,,,,,,,,,TRUE
James A. Rhodes Arena,,41.0738436,-81.5084482,,,,,,,,,,,TRUE
James Center Arena,,32.4309631,-85.710327,,,,,,,,,,,TRUE
James S. Trent Arena,,39.6982884,-84.1662276,,,,,,,,,,,TRUE
Jamestown Civic Center,,46.9101124,-98.7048305,,,,,,,,,,,TRUE
Jenison Field House,,42.7308585,-84.4900292,,,,,,,,,,,TRUE
Jenny Craig Pavilion,,32.7744568,-117.1838021,,,,,,,,,,,TRUE
Jersey Mike's Arena,,40.5252541,-74.4412619,,,,,,,,,,,TRUE
John A. Wilson Complex,,35.6016273,-105.224331,,,,,,,,,,,TRUE
John D. Millett Hall,,39.5172348,-84.7345555,,,,,,,,,,,TRUE
John Paul Jones Arena,,38.0459619,-78.5065842,,,,,,,,,,,TRUE
Johnson Center,,35.0825157,-106.6182697,,,,,,,,,,,TRUE
John Wooden Gymnasium,,39.419927,-86.4104493,,,,,,,,,,,TRUE
Jones Convocation Center,,41.716525,-87.6083493,,,,,,,,,,,TRUE
Jon M. Huntsman Center,,40.7620404,-111.8387175,,,,,,,,,,,TRUE
Kaplan Arena,,37.2734595,-76.719667,,,,,,,,,,,TRUE
Kaseya Arena,,25.7813824,-80.1876211,,,,,,,,,,,TRUE
Kay Yeager Coliseum,,33.9157674,-98.4976118,,,,,,,,,,,TRUE
KeyBank Center,,42.8748241,-78.8763642,,,,,,,,,,,TRUE
Keystone Centre,,49.8308963,-99.9600935,,,,,,,,,,,TRUE
KFC Yum! Center,,38.2577363,-85.7539129,,,,,,,,,,,TRUE
Kia Center,,28.5391587,-81.3839293,,,,,,,,,,,TRUE
Kitchener Memorial Auditorium,,43.4470539,-80.4676867,,,,,,,,,,,TRUE
Knapp Center,,41.6046452,-93.6522031,,,,,,,,,,,TRUE
