latitude,longitude,company,facility_name,city,state,address,products_or_focus,source_dataset,EV_facility
42.549289,-84.826136,Blue Arc EV Solutions,Charlotte Facility,Charlotte,MI,"Charlotte Facility, Charlotte, MI",Medium-Duty (Class 3-6),EV manufacturing,TRUE
39.540664,-119.439341,Tesla,Gigafactory Nevada,Sparks,NV,"Gigafactory Nevada, Sparks, NV",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
34.039138,-118.002779,Proterra Powered,LA Factory,City of Industry,CA,"LA Factory, City of Industry, CA",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
36.897501,-86.447403,General Motors,Bowling Green Assembly,Bowling Green,KY,"Bowling Green Assembly, Bowling Green, KY",Light-Duty (Class 1-2),EV manufacturing,TRUE
33.1660368,-117.3379272,Aptera,Aptera San Diego Manufacturing Facility,Carlsbad,CA,"Aptera San Diego Manufacturing Facility, Carlsbad, CA",Light-Duty (Class 1-2),EV manufacturing,TRUE
39.057593,-94.635027,Orange EV,Kansas City Production Facility & HQ,Kansas City,KS,"Kansas City Production Facility & HQ, Kansas City, KS",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
42.2398061,-83.6145427,EAVX,JB Poindexter & Co,Ypsilanti,MI,"JB Poindexter & Co, Ypsilanti, MI",Medium-Duty (Class 3-6),EV manufacturing,TRUE
35.468494,-97.521264,Canoo,Oklahoma City Assembly Facility,Oklahoma City,OK,"Oklahoma City Assembly Facility, Oklahoma City, OK",Light-Duty (Class 1-2),EV manufacturing,TRUE
41.661126,-86.1793,GEM Yield,ELMS Mishawaka Plant,Mishawaka,IN,"ELMS Mishawaka Plant, Mishawaka, IN",Light-Duty (Class 1-2),EV manufacturing,TRUE
34.898896,-82.174691,BMW,Plant Spartanburg,Greer,SC,"Plant Spartanburg, Greer, SC",Light-Duty (Class 1-2),EV manufacturing,TRUE
40.326752,-82.817043,Honda,East Liberty Auto Plant,East Liberty,OH,"East Liberty Auto Plant, East Liberty, OH",Light-Duty (Class 1-2),EV manufacturing,TRUE
40.2767,-83.507149,Honda,Marysville Auto Plant,Marysville,OH,"Marysville Auto Plant, Marysville, OH",Light-Duty (Class 1-2),EV manufacturing,TRUE
40.046394,-76.296547,BYD,Lancaster Factory,Lancaster,CA,"Lancaster Factory, Lancaster, CA",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
40.489626,-81.445585,Battle Motors,New Philadelphia Assembly Facility,New Philadelphia,OH,"New Philadelphia Assembly Facility, New Philadelphia, OH",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
33.980534,-117.377025,ELDorado National,Riverside Manufacturing Facility,Riverside,CA,"Riverside Manufacturing Facility, Riverside, CA",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
