Ref#,Prefix,Property Name,State,County,City,Street & Number,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,External Link,Level of Significance - International,Level of Significance - National,Level of Significance - State,Level of Significance - Local,Level of Significance - Not Indicated,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID,Address,latitude,longitude
03000508,AD,Port Theatre (Additional Documentation),FLORIDA,Gulf,Port St. Joe,314 Reid Ave.,Listed,Add.Doc.,FALSE,0.9,ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/77842495,FALSE,FALSE,FALSE,TRUE,FALSE,6/5/03,NA,FMSF #GU135,NA,03000508,"314 Reid Ave., Port St. Joe, FLORIDA",29.813401596534,-85.303424981098
98001202,NA,Dixie Crystal Theatre,FLORIDA,Hendry,Clewiston,100 E. Sugarland Hwy.,Listed,Single,FALSE,0.9,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/77842518,FALSE,FALSE,FALSE,TRUE,FALSE,9/25/98,NA,Clewiston Theater,NA,98001202,"100 E. Sugarland Hwy., Clewiston, FLORIDA",26.753946420156,-80.933939693931
78000945,NA,Tampa Theater and Office Building,FLORIDA,Hillsborough,Tampa,711 Franklin St.,Listed,Single,FALSE,0.9,ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/77842631,FALSE,FALSE,FALSE,TRUE,FALSE,1/3/78,NA,NA,NA,78000945,"711 Franklin St., Tampa, FLORIDA",27.950421188935,-82.458773005036
92000421,NA,Vero Theatre,FLORIDA,Indian River,Vero Beach,2036 14th Ave.,Listed,Single,FALSE,0.9,COMMERCE; ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/77842689,FALSE,FALSE,FALSE,TRUE,FALSE,4/28/92,NA,Florida Theatre;Theatre Plaza;8IR621,NA,92000421,"2036 14th Ave., Vero Beach, FLORIDA",27.639097817074,-80.39905717615
72000330,NA,Perkins Opera House,FLORIDA,Jefferson,Monticello,Washington St. and Courthouse Sq.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/77842785,FALSE,FALSE,FALSE,TRUE,FALSE,9/14/72,NA,NA,NA,72000330,"Washington St. and Courthouse Sq., Monticello, FLORIDA",26.87396999303,-82.196941963489
93001204,NA,Lyric Theatre,FLORIDA,Martin,Stuart,59 SW. Flagler Ave.,Listed,Single,FALSE,0.9,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/77843120,FALSE,FALSE,FALSE,TRUE,FALSE,11/12/93,NA,Site #8MT00086,NA,93001204,"59 SW. Flagler Ave., Stuart, FLORIDA",27.199383008852,-80.254372619211
16000359,NA,Ace Theatre,FLORIDA,Miami-Dade,Miami,3664 Grand Ave.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION; SOCIAL HISTORY; BLACK,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,6/13/16,NA,Florida Master Site File #DA14112,NA,16000359,"3664 Grand Ave., Miami, FLORIDA",25.727426095739,-80.252837138368
100003018,SG,Coconut Grove Playhouse,FLORIDA,Miami-Dade,Miami,3500 Main Hwy,Listed,Single,FALSE,2.9,ARCHITECTURE; ENTERTAINMENT/RECREATION,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,10/19/18,NA,Coconut Grove Theater; Players State Theater; The Grove; FMSF DA01070,NA,100003018,"3500 Main Hwy, Miami, FLORIDA",25.725846232719,-80.244790762777
88002965,NA,Lyric Theater,FLORIDA,Miami-Dade,Miami,819 N.W. 2nd Ave.,Listed,Multiple,FALSE,0.9,ARCHITECTURE; SOCIAL HISTORY,BUILDING,https://catalog.archives.gov/id/77841507,FALSE,FALSE,TRUE,FALSE,FALSE,1/4/89,NA,NA,NA,88002965,"819 N.W. 2nd Ave., Miami, FLORIDA",25.782089515488,-80.197766944858
84000839,NA,Olympia Theater and Office Building,FLORIDA,Miami-Dade,Miami,174 E. Flager St.,Listed,Single,FALSE,0.9,COMMERCE; ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/77843177,FALSE,FALSE,TRUE,FALSE,FALSE,3/8/84,NA,Maurice Gusman Cultural Center,NA,84000839,"174 E. Flager St., Miami, FLORIDA",25.77389390011,-80.190544007435
98001256,NA,Operation Crossbow Site,FLORIDA,Okaloosa,Eglin Air Force Base,Address Restricted,Listed,Single,TRUE,14,MILITARY,SITE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,10/22/98,NA,NA,NA,98001256,"Address Restricted, Eglin Air Force Base, FLORIDA",30.4719356,-86.5388012
98000863,NA,"Russell, Annie, Theatre",FLORIDA,Orange,Winter Park,1000 Holt Ave.,Listed,Single,FALSE,0.9,ARCHITECTURE; EDUCATION; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/77843433,FALSE,FALSE,FALSE,TRUE,FALSE,7/15/98,NA,8OR8148,NA,98000863,"1000 Holt Ave., Winter Park, FLORIDA",28.593449997061,-81.348880027118
100005413,MP,Veterans Memorial Library and Woman's Club of St. Cloud Auditorium,FLORIDA,Osceola,St. Cloud,1012-1014 Massachusetts Ave.,Listed,Multiple,FALSE,0.9,ENTERTAINMENT/RECREATION; ARCHITECTURE; SOCIAL HISTORY,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,8/3/20,NA,Woman's Club of St. Cloud; OS01255,NA,100005413,"1012-1014 Massachusetts Ave., St. Cloud, FLORIDA",28.248336994205,-81.284959968778
73000599,NA,Paramount Theatre Building,FLORIDA,Palm Beach,Palm Beach,145 N. County Rd.,Listed,Single,FALSE,1.3,ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/77843555,FALSE,FALSE,FALSE,TRUE,FALSE,12/12/73,NA,NA,NA,73000599,"145 N. County Rd., Palm Beach, FLORIDA",26.719998497428,-80.037842760273
93000446,NA,Polk Theatre and Office Building,FLORIDA,Polk,Lakeland,121 S. Florida Ave.,Listed,Single,FALSE,0.9,COMMUNITY PLANNING AND DEVELOPMENT; ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/77843822,FALSE,FALSE,TRUE,FALSE,FALSE,5/27/93,NA,Polk Theatre;8PO396,NA,93000446,"121 S. Florida Ave., Lakeland, FLORIDA",28.043322809061,-81.957395133543
84003835,NA,Edwards Theatre,FLORIDA,Sarasota,Sarasota,57 N. Pineapple Ave.,Listed,Multiple,FALSE,0.9,ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/77841731,FALSE,FALSE,FALSE,TRUE,FALSE,3/22/84,NA,Sarasota Theater of the Arts,NA,84003835,"57 N. Pineapple Ave., Sarasota, FLORIDA",27.336957864922,-82.543449612609
95000164,NA,Municipal Auditorium-Recreation Club,FLORIDA,Sarasota,Sarasota,801 N. Tamiani Trail,Listed,Single,FALSE,2,ARCHITECTURE; COMMUNITY PLANNING AND DEVELOPMENT; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/77843918,FALSE,FALSE,FALSE,TRUE,FALSE,2/24/95,NA,Civic Center;City of Sarasota Exhibition Hall,NA,95000164,"801 N. Tamiani Trail, Sarasota, FLORIDA",27.343314074605,-82.547413642773
00001130,NA,Ritz Theater,FLORIDA,Seminole,Sanford,201 S. Magnolia Ave.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/77844010,FALSE,FALSE,FALSE,TRUE,FALSE,1/29/01,NA,Milane Theatre; Helen Stairs Theatre,NA,00001130,"201 S. Magnolia Ave., Sanford, FLORIDA",28.810653983993,-81.266673673534
01001339,NA,Sunrise Theatre,FLORIDA,St. Lucie,Fort Pierce,117 S. 2nd St.,Listed,Single,FALSE,0.9,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/77844106,FALSE,FALSE,FALSE,TRUE,FALSE,12/7/01,NA,Sunrise Building; SL00799,NA,01001339,"117 S. 2nd St., Fort Pierce, FLORIDA",27.446999893266,-80.323926238494
84000893,NA,Grand Theater,GEORGIA,Bartow,Cartersville,2 Wall St.,Listed,Single,FALSE,0.9,COMMERCE; ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/93206948,FALSE,FALSE,FALSE,TRUE,FALSE,6/28/84,NA,NA,NA,84000893,"2 Wall St., Cartersville, GEORGIA",34.166164986867,-84.795088705046
70000196,NA,Grand Opera House,GEORGIA,Bibb,Macon,651 Mulberry St.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION; ARCHITECTURE; SOCIAL HISTORY,BUILDING,https://catalog.archives.gov/id/93207023,FALSE,TRUE,FALSE,FALSE,FALSE,6/22/70,NA,Academy of Music,NA,70000196,"651 Mulberry St., Macon, GEORGIA",32.838559240493,-83.628407075828
