"Company","City","State","County","Latitude","Longitude","Q4.2025.Median.Home.Price"
"Freddie Mac",NA,"Virginia","Fairfax",38.9338676,-77.1772604,782680
"Target","Minneapolis","Minnesota","Hennepin",44.9748915,-93.2743017,407520
"IBM",NA,"New York","Westchester",41.1135751,-73.7160522,732670
"Johnson And Johnson","New Brunswick","New Jersey","Middlesex",40.4993693,-74.4419126,549800
"State Farm Insurance","Bloomington","Illinois","McLean",40.4771561,-88.9548523,239350
"DuPont De Nemours  ",NA,"Delaware","New Castle",39.7828904,-75.5671468,391290
"Dell Technologies ","Round Rock","Texas","Williamson",30.4883856,-97.6704209,466650
"Anthem","Indianapolis","Indiana","Marion",39.76462,-86.15301,250140
"Comcast","Philadelphia","Pennsylvania","Philadelphia",39.9549688,-75.168451,266610
"Marathon Petrolium","Findlay","Ohio","Hancock",41.04422,-83.6499321,247240
"Citigroup","New York","New York","New York",40.7127753,-74.0059728,1172110
"Wells Fargo","San Francisco","California",NA,37.7749295,-122.4194155,NA
"Boeing","Chicago","Illinois","Cook",41.8781136,-87.6297982,357630
"Home Depot","Atlanta","Georgia","Fulton",33.7489954,-84.3879824,514220
"Microsoft",NA,"Washington","King",47.6739881,-122.121512,903970
"Bank of America","Charlotte","North Carolina","Mecklenburg",35.2270869,-80.8431267,471910
"Valero Technology","San Antonio","Texas","Bexar",29.4241219,-98.4936282,289900
"Phillips","Houston","Texas","Harris",29.7604267,-95.3698028,306470
"Fannie Mae","Washington","District of Columbia",NA,38.9071923,-77.0368707,NA
"General Electric","Boston","Massachusetts","Suffolk",42.3600825,-71.0588801,739680
"Kroger","Cincinnati","Ohio","Hamilton",39.1031182,-84.5120196,283180
"Verizon Communication","New York","New York","New York",40.7127753,-74.0059728,1172110
"JP Morgan","New York","New York","New York",40.7127753,-74.0059728,1172110
"Walgreens Boots Alliance",NA,"Illinois","Lake",42.1711365,-87.8445119,392350
"Cardinal Health","Dublin","Ohio","Franklin",40.0992294,-83.1140771,327270
"Alphabet","Mountain View","California","Santa Clara",37.3860517,-122.0838511,1558540
"Costco Wholesale",NA,"Washington","King",47.5301011,-122.0326191,903970
"General Motors","Detroit","Michigan","Wayne",42.331427,-83.0457538,206910
"Exxon Mobil","Irving","Texas","Dallas",32.8140177,-96.9488945,329370
"McKesson","Irving","Texas","Dallas",32.8140177,-96.9488945,329370
"Ford Motor",NA,"Michigan","Wayne",42.3222599,-83.1763145,206910
"Chevron",NA,"California","Contra Costa",37.7799273,-121.9780153,887170
"Amerisource Bergen Drug Corporation Chesterbrook","Tredyffrin Township","Pennsylvania","Chester",40.0686079,-75.4683046,566540
"AT&T  ","Dallas","Texas","Dallas",32.8687682,-96.7692323,329370
"CVS Health ","Woonsocket","Rhode Island","Providence",41.9914346,-71.4889544,444090
"UnitedHealth Group",NA,"Minnesota","Hennepin",44.9211836,-93.4687489,407520
"Amazon","Seattle","Washington","King",47.6062095,-122.3320708,903970
"Berkshire Hathaway INC.","Omaha","Nebraska","Douglas",41.2565369,-95.9345034,300310
"Apple","Cupertino","California","Santa Clara",37.3229978,-122.0321823,1558540
"Walmart","Bentonville","Arkansas","Benton",36.3728538,-94.2088172,403390
