"Electric.Power.Plant.Name","Operating.Utility.Name","City","State","Primary.Energy.Source","Maximum.Summer.Capacity..Megawatts.","Longitude","Latitude"
"Henry Miller RD","Henry Miller Reclamation District","Dos Palos","California","solar",1.5,-120.63523,37.0543
"Menifee Power Bank","Nova Power, LLC","Menifee","California","batteries",620,-117.1698,33.739005
"Sweetland Wind Farm, LLC","Sweetland Wind Farm, LLC","St. Lawrence","South Dakota","wind",200,-98.801075,44.386814
"Federalsburg Energy Storage 1 LLC","Convergent Energy and Power LP","Federaslburg","Maryland","batteries",2,-75.711068,38.64022
"Valley Center 85","Terra-Gen Operating Co-BESS 2","Valley Center","California","batteries",85,-117.017744,33.227236
"Cicero Energy Storage 1 LLC","Convergent Energy and Power LP","East Syracuse","New York","solar",10,-76.086772,43.147448
"Valley Center 54","Terra-Gen Operating Co-BESS 2","Valley Center","California","batteries",54,-117.017744,33.227236
"Cicero Energy Storage 2 LLC","Convergent Energy and Power LP","East Syracuse","New York","solar",10,-76.08879,43.151269
"Sunnyside 1 Solar","Solar DG NY Sunnyside 1, LLC","Scotia","New York","solar",5,-73.943953,42.836275
"EnerSmart Chula Vista Sub Station","EnerSmart Chula Vista Sub Station","Chula Vista","California","batteries",6,-117.050694,32.5945
"West Tambo Clean Power II","West Tambo Clean Power II","Livingston","California","solar",2,-120.719395,37.360955
"Briscoe 1A","7th Road Solar 1, LLC (Briscoe 1A)","Tonica","Illinois","solar",2,-89.031736,41.207028
"Briscoe 2A","7th Road Solar 2, LLC (Briscoe 2A)","Lostant","Illinois","solar",2,-89.028765,41.172704
"CA Manteca 730 Spreckels Ave","Catalyze Manteca 730 Spreckels Avenue Microgrid LLC","Manteca","California","solar",3,-121.194505,37.788679
"ME Augusta 13 York Farm Rd Solar","SOL ME Augusta 13 York Farm, LLC","Augusta","Maine","solar",1,-69.819612,44.328818
"TX Houston 7080 Express Lane","Catalyze Houston Express Lane Microgrid, LLC","Houston","Texas","solar",1.9,-95.247062,29.825138
"Amherst Community Solar","Amherst Community Solar LLC","Amherst","New York","solar",5,-78.746052,43.049931
"Greene Community Solar","Greene Community Solar LLC","Chenango Forks","New York","solar",5,-75.826416,42.252071
"NY Geneseo 3240 W Lake Rd Solar","NYSolar03 LLC","Geneseo","New York","solar",5,-77.718272,42.847208
"NY Grand Island 871 Whitehaven Rd Solar","Grand Island Sunrise LLC","Grand Island","New York","solar",5,-78.92066,43.027501
"NY Lancaster Gunnville Rd Site 1 Solar C","AC Power 14, LLC","Lancaster","New York","solar",5,-78.61796,42.952629
