Ref#,Prefix,Property Name,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,State,County,City ,Street & Number,External Link,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID
68000038,,Mission House,Listed,Single,FALSE,0.4, ARCHITECTURE,BUILDING,MASSACHUSETTS,Berkshire,Stockbridge,Main St.,https://catalog.archives.gov/id/63793635,11/24/68,11/24/68,,,68000038
75000254,,Mount Auburn Cemetery,Listed,Single,FALSE,170, LANDSCAPE ARCHITECTURE; ARCHITECTURE,district,MASSACHUSETTS,Middlesex,Cambridge,580 Mount Auburn St.,https://catalog.archives.gov/id/63795977,4/21/75,5/27/03,,,75000254
71000900,,"Mount, The",Listed,Single,FALSE,198, LITERATURE,BUILDING,MASSACHUSETTS,Berkshire,Lenox,S of Lenox on U.S. 7,https://catalog.archives.gov/id/63793643,11/11/71,11/11/71, Edith Wharton Estate,,71000900
66000772,,Nantucket Historic District,Listed,Single,FALSE,30000, INDUSTRY; COMMERCE; ARCHITECTURE,DISTRICT,MASSACHUSETTS,Nantucket,Nantucket,Nantucket Island,,11/13/66,11/13/66,,,66000772
75000264,,Naumkeag,Listed,Single,FALSE,46, LANDSCAPE ARCHITECTURE; LAW; POLITICS/GOVERNMENT; ARCHITECTURE,DISTRICT,MASSACHUSETTS,Berkshire,Stockbridge,5 Prospect Hill Rd.,https://catalog.archives.gov/id/63794304,11/3/75,3/29/07, Joseph Hodges Choate House,,75000264
93000607,,Nauset Archeological District,Listed,Single,TRUE,37.7, HISTORIC - ABORIGINAL,DISTRICT,MASSACHUSETTS,Barnstable,Eastham,Address Restricted,,4/19/93,4/19/93," Coast Guard Beach Site,19BN374;North Salt Pond Site,19BN390;",Cape Cod,93000607
76001979,,"Nell, William C., House",Listed,Single,FALSE,0.9, BLACK; LITERATURE; SOCIAL HISTORY,BUILDING,MASSACHUSETTS,Suffolk,Boston,3 Smith Ct.,,5/11/76,5/11/76,,,76001979
66000773,,New Bedford Historic District,Listed,Single,FALSE,19.6, INDUSTRY; COMMERCE,DISTRICT,MASSACHUSETTS,Bristol,New Bedford,"Bounded by Front St. on E, Elm St. on N, Acushnet Ave. on W, and Commercial St. on S",https://catalog.archives.gov/id/63793659,11/13/66,11/13/66, see also: New Bedford Whaling National Historical Park,,66000773
80000672,,New England Conservatory of Music,Listed,Single,FALSE,1, EDUCATION; PERFORMING ARTS; ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,290 Huntington Ave.,https://catalog.archives.gov/id/63796917,5/14/80,4/19/94,,,80000672
72001312,,Norfolk County Courthouse,Listed,Single,FALSE,1, POLITICS/GOVERNMENT; SOCIAL HISTORY,BUILDING,MASSACHUSETTS,Norfolk,Dedham,650 High St.,https://catalog.archives.gov/id/63793807,11/28/72,11/28/72, Sacco-Vanzetti Trial Site,,72001312
70000687,,Old City Hall,Listed,Single,FALSE,0.5, ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,School and Providence Sts.,https://catalog.archives.gov/id/63793837,12/30/70,12/30/70,,,70000687
66000774,,Old Deerfield Village Historic District,Listed,Single,FALSE,800, EXPLORATION/SETTLEMENT,DISTRICT,MASSACHUSETTS,Franklin,Deerfield,"W of US 5, bounded by Mill Village Rd., ""The Street"", Broughton's Pond Rd., and Pogues Hole Rd.",https://catalog.archives.gov/id/63795149,10/15/66,10/9/60,,,66000774
66000775,,Old Manse,Listed,Single,FALSE,6.7, LITERATURE,BUILDING,MASSACHUSETTS,Middlesex,Concord,Monument St.,https://catalog.archives.gov/id/63793755,10/15/66,12/29/62,,,66000775
66000776,,Old North Church,Listed,Single,FALSE,0.9, MILITARY; ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,193 Salem St.,https://catalog.archives.gov/id/63793857,10/15/66,1/20/61, Christ Church Episcopal,Boston,66000776
66000777,,Old Ship Meetinghouse,Listed,Single,FALSE,1.3, EXPLORATION/SETTLEMENT; ARCHITECTURE,BUILDING,MASSACHUSETTS,Plymouth,Hingham,Main St.,https://catalog.archives.gov/id/63793817,10/15/66,10/9/60, Old Ship Church,,66000777
70000690,,Old South Church in Boston,Listed,Single,FALSE,0.3, ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,645 Boylston St.,https://catalog.archives.gov/id/63793843,12/30/70,12/30/70," Third Church;United Church of Christ,Congregational",,70000690
66000778,,Old South Meeting House,Listed,Single,FALSE,0.2, POLITICS/GOVERNMENT; ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,Milk and Washington Sts.,https://catalog.archives.gov/id/63793859,10/15/66,10/9/60,,Boston,66000778
66000779,,Old State House,Listed,Single,FALSE,0.9, POLITICS/GOVERNMENT; ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,Washington and State Sts.,https://catalog.archives.gov/id/63793861,10/15/66,10/9/60, Second Town House,Boston,66000779
70000691,,Old West Church,Listed,Single,FALSE,1, ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,131 Cambridge St.,https://catalog.archives.gov/id/63793835,12/30/70,12/30/70, West End Church;United Methodist,,70000691
