name,institution_type,latitude,longitude
"492. Harley-Davidson Museum, West Canal Street, Milwaukee, WI, USA",Fortune 500 HQ,43.0316706,-87.91652440000001
"491. First American Financial, Santa Ana, CA, USA",Fortune 500 HQ,33.702007,-117.860141
344. Air Products & Chemicals,Fortune 500 HQ,40.6022939,-75.4714098
"489. TreeHouse Foods, Inc., Spring Road, Oak Brook, IL, USA",Fortune 500 HQ,41.8494532,-87.94730670000001
"488. Fiserv, Inc., Fiserv Drive, Brookfield, WI, USA",Fortune 500 HQ,43.0338095,-88.1409438
"487. Zoetis Inc., Sylvan Way, Parsippany, New Jersey, USA",Fortune 500 HQ,40.8470715,-74.44477719999998
342. Brighthouse Financial,Fortune 500 HQ,35.2270869,-80.84312669999997
"486. Ingredion, Westchester, IL, USA",Fortune 500 HQ,41.8453955,-87.90528560000001
"485. ON Semiconductor, Phoenix, AZ, USA",Fortune 500 HQ,33.4636186,-111.9701255
NA,Fortune 500 HQ,40.7127753,-74.0059728
"484. Tapestry, New York, NY, USA",Fortune 500 HQ,40.7127753,-74.0059728
340. Peter Kiewit Sons’,Fortune 500 HQ,41.2565369,-95.93450339999998
"483. NetApp, Sunnyvale, CA, USA",Fortune 500 HQ,37.4149198,-122.0095976
"482. Intuit, Mountain View, CA, USA",Fortune 500 HQ,37.42836249999999,-122.097623
"481. Old Republic International Corporation, Michigan Avenue, Chicago, IL, USA",Fortune 500 HQ,41.887068,-87.6241579
"480. Graphic Packaging International, Atlanta, GA, USA",Fortune 500 HQ,33.327532,-81.95409699999999
"338. AVIS, Parsippany, NJ, USA",Fortune 500 HQ,40.867239,-74.42294170000002
"337. Vistra/TXU Energy Corporate Office, Sierra Drive, Irving, TX, USA",Fortune 500 HQ,32.898375,-96.9642376
"479. Hd Supply Holdings Inc,  Atlanta, GA, USA",Fortune 500 HQ,33.8772177,-84.4728859
"478. Realogy Holdings Corp., Park Avenue, Madison, NJ, USA",Fortune 500 HQ,40.7716197,-74.42318549999999
"477. Clorox Co, Broadway, Oakland, CA, USA",Fortune 500 HQ,37.80358210000001,-122.27211649999998
"476. Polaris Industries Inc, Highway 55, Medina, MN, USA",Fortune 500 HQ,45.05750700000001,-93.57653670000002
"475. Booz Allen Hamilton Inc, , McLean, VA, USA",Fortune 500 HQ,38.9218202,-77.2319233
"474. L3Harris Technologies: Communication Systems-West, 2200 West, Salt Lake City, UT, USA",Fortune 500 HQ,40.7835097,-111.95278480000002
"473. Ralph Lauren New York, NY, USA",Fortune 500 HQ,40.7715155,-73.96536559999998
"472. Analog Devices, Technology Way, Norwood, MA, USA",Fortune 500 HQ,42.2104866,-71.18062359999999
"471. Post Holdings Inc, South Hanley Road, St. Louis, MO, USA",Fortune 500 HQ,38.6165266,-90.334968
"470. S and P Global, New York, NY, USA",Fortune 500 HQ,40.74997189999999,-73.99216760000002
"469. Intercontinental Exchange, New Northside Drive, Atlanta, GA, USA",Fortune 500 HQ,33.9088822,-84.4307488
"478. Ameren Corporation,  St. Louis, MO, USA",Fortune 500 HQ,38.6224443,-90.20955879999995
"467. Franklin Templeton Investments, San Mateo, CA, USA",Fortune 500 HQ,37.5437749,-122.2942274
"166. iHeartMedia San Antonio, San Antonio, TX, USA",Fortune 500 HQ,29.6476256,-98.4542381
"465. NCR Global, Atlanta, GA, USA",Fortune 500 HQ,33.7791502,-84.38960150000003
"464. Beacon Roofing Supply Inc, Huntmar Park Drive, Herndon, VA, USA",Fortune 500 HQ,38.9634821,-77.38151849999997
"463. ABM Industries, New York, NY, USA",Fortune 500 HQ,40.7127753,-74.0059728
"336. Mutual of Omaha® Insurance Co., Dodge Street, Omaha, NE, USA",Fortune 500 HQ,41.2585024,-95.962269
