Ref#,Prefix,Property Name,State,County,City,Street & Number,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,External Link,Level of Significance - International,Level of Significance - National,Level of Significance - State,Level of Significance - Local,Level of Significance - Not Indicated,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID
83003499,NA,Auditorium,CALIFORNIA,Los Angeles,Torrance,2200 W. Carson,Listed,Multiple,FALSE,0.4,COMMUNITY PLANNING AND DEVELOPMENT; EDUCATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123857400,FALSE,FALSE,FALSE,TRUE,FALSE,10/13/83,NA,Assembly Hall,NA,83003499
05000070,NA,Avenel Cooperative Housing Project,CALIFORNIA,Los Angeles,Los Angeles,2839-2849 Avenel St.,Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123858933,FALSE,FALSE,FALSE,TRUE,FALSE,2/27/05,NA,NA,NA,05000070
79000484,NA,Broadway Theater and Commercial District,CALIFORNIA,Los Angeles,Los Angeles,300--849 S. Broadway,Listed,Single,FALSE,28.1,COMMERCE; ARCHITECTURE,DISTRICT,https://catalog.archives.gov/id/123858983,FALSE,FALSE,TRUE,FALSE,FALSE,5/9/79,NA,NA,NA,79000484
02000330,NA,Broadway Theatre and Commercial District (Boundary Increase),CALIFORNIA,Los Angeles,Los Angeles,"242, 248-260, 249-259, 900-911,908-910, 921-937, 930-947 S. Broadway",Listed,Single,FALSE,0.9,ARCHITECTURE; COMMERCE; ENTERTAINMENT/RECREATION,DISTRICT,https://catalog.archives.gov/id/123858985,FALSE,FALSE,FALSE,TRUE,FALSE,4/12/02,NA,NA,NA,02000330
12001163,NA,Fox Theatre Inglewood,CALIFORNIA,Los Angeles,Inglewood,115 N. Market St.,Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123859121,FALSE,FALSE,FALSE,TRUE,FALSE,1/14/13,NA,NA,NA,12001163
12000164,NA,Fox Wilshire Theatre,CALIFORNIA,Los Angeles,Beverly Hills,8440 Wilshire Blvd.,Listed,Single,FALSE,0.6,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/123859123,FALSE,FALSE,FALSE,TRUE,FALSE,4/3/12,NA,Wilshire Theatre; Saban Theatre,NA,12000164
82002192,NA,Golden Gate Theater,CALIFORNIA,Los Angeles,Los Angeles,5170-5188 E. Whittier Blvd.,Listed,Single,FALSE,0.8,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123859156,FALSE,FALSE,FALSE,TRUE,FALSE,2/23/82,NA,Golden Gate Theater/Vega Building,NA,82002192
09000149,NA,Lincoln Theater,CALIFORNIA,Los Angeles,Los Angeles,2300 S. Central Ave.,Listed,Multiple,FALSE,0.9,BLACK,BUILDING,https://catalog.archives.gov/id/123857536,FALSE,FALSE,FALSE,TRUE,FALSE,3/17/09,NA,NA,NA,09000149
78000687,NA,Million Dollar Theater,CALIFORNIA,Los Angeles,Los Angeles,307 S. Broadway,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123859321,FALSE,FALSE,TRUE,FALSE,FALSE,7/20/78,NA,Edison Building,NA,78000687
97001660,NA,Padua Hills Theatre,CALIFORNIA,Los Angeles,Claremont,4467 Via Padova,Listed,Single,FALSE,6.6,PERFORMING ARTS; HISPANIC; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/123859380,FALSE,FALSE,FALSE,TRUE,FALSE,1/23/98,NA,NA,NA,97001660
75000435,NA,Pasadena Playhouse,CALIFORNIA,Los Angeles,Pasadena,39 S. El Molino Ave.,Listed,Single,FALSE,1.3,EDUCATION; ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/123859396,FALSE,TRUE,FALSE,FALSE,FALSE,11/11/75,NA,NA,NA,75000435
94000462,NA,Pasadena Playhouse Historic District,CALIFORNIA,Los Angeles,Pasadena,"464--611 E. Colorado Blvd., 550--655 E. Green St., 21--127 S. El Molino Ave., and 150 N.--101 S. Madison Ave.",Listed,Single,FALSE,24.5,ARCHITECTURE; COMMUNITY PLANNING AND DEVELOPMENT; PERFORMING ARTS; COMMERCE,DISTRICT,https://catalog.archives.gov/id/123859398,FALSE,FALSE,FALSE,TRUE,FALSE,5/19/94,NA,See Also:Singer Building;First Trust Building;Pasadena Playh,NA,94000462
82002201,NA,Pomona Fox Theater,CALIFORNIA,Los Angeles,Pomona,102--144 3rd St.,Listed,Single,FALSE,0.5,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123859426,FALSE,FALSE,FALSE,TRUE,FALSE,2/19/82,NA,Fox,NA,82002201
78000700,NA,Rialto Theatre,CALIFORNIA,Los Angeles,South Pasadena,1019--1023 Fair Oaks Ave.,Listed,Single,FALSE,0.3,ART; ENTERTAINMENT/RECREATION; ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/123859453,FALSE,FALSE,FALSE,TRUE,FALSE,5/24/78,NA,NA,NA,78000700
100002674,RS,San Gabriel Mission Playhouse,CALIFORNIA,Los Angeles,San Gabriel,320 S. Mission Dr.,Listed,Resubmission,FALSE,0.9,ARCHITECTURE; PERFORMING ARTS,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,7/22/19,NA,NA,NA,100002674
100010919,SG,Santa Monica Civic Auditorium,CALIFORNIA,Los Angeles,Santa Monica,1855 Main Street,Listed,Single,FALSE,4.22,ARCHITECTURE; COMMUNITY PLANNING AND DEVELOPMENT; PERFORMING ARTS,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,10/16/24,NA,NA,NA,100010919
85002814,NA,Space Flight Operations Facility,CALIFORNIA,Los Angeles,Pasadena,Jet Propulsion Laboratory,Listed,Single,FALSE,0.9,COMMUNITY PLANNING AND DEVELOPMENT; OTHER; ENGINEERING,BUILDING,https://catalog.archives.gov/id/123857946,FALSE,TRUE,FALSE,FALSE,FALSE,10/3/85,10/3/85,NA,NA,85002814
98001633,NA,Warner Brothers Theatre,CALIFORNIA,Los Angeles,San Pedro,478 W. 6th St.,Listed,Single,FALSE,0.9,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/123859605,FALSE,FALSE,FALSE,TRUE,FALSE,1/21/99,NA,Warner Bros. San Pedro Theatre; Warner Grand Theater,NA,98001633
09001200,NA,Westlake Theatre,CALIFORNIA,Los Angeles,Los Angeles,634-642 S. Alvarado St.,Listed,Single,FALSE,0.9,ARCHITECTURE,building,https://catalog.archives.gov/id/123859617,FALSE,FALSE,FALSE,TRUE,FALSE,1/7/10,NA,Westlake Theatre Building,NA,09001200
14001234,NA,Mount Tamalpais Mountain Theater,CALIFORNIA,Marin,Mill Valley,3801 Panoramic Hwy.,Listed,Multiple,FALSE,5,LANDSCAPE ARCHITECTURE; ENTERTAINMENT/RECREATION; POLITICS/GOVERNMENT,STRUCTURE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2/2/15,NA,Sydney B. Cushing Amphitheater; Facility Number D3082001,NA,14001234
89000819,NA,Station KPH Operating Station,CALIFORNIA,Marin,Marshall,18500 CA 1,Listed,Single,FALSE,0.9,COMMUNICATIONS,BUILDING,https://catalog.archives.gov/id/123859715,FALSE,TRUE,FALSE,FALSE,FALSE,7/24/89,NA,Marconi Property,NA,89000819
