state,city,theatre,built,seats,address,latitude,longitude
IA,Ames,Stephens Auditorium,1969,2602,"Stephens Auditorium, Ames, IA",42.020196,-93.637937
IA,Cedar Falls,Oster Regent Theatre,1910,462,"Oster Regent Theatre, Cedar Falls, IA",42.537809,-92.4534
IA,Cedar Rapids,Paramount Theatre,1928,1901,"Paramount Theatre, Cedar Rapids, IA",41.9797,-91.668293
IA,Corning,Corning Opera House,1902,300,"Corning Opera House, Corning, IA",40.99012,-94.73409
IA,Davenport,Adler Theatre,1926,2321,"Adler Theatre, Davenport, IA",41.522532,-90.573344
IA,Elkader,Elkader Opera House,1903,450,"Elkader Opera House, Elkader, IA",42.85543,-91.405708
KS,Arkansas City,Burford Theatre,1924,800,"Burford Theatre, Arkansas City, KS",37.06164,-97.03875
KS,Belleville,Blair Theater,1928,369,"Blair Theater, Belleville, KS",39.8239948,-97.6321055
KS,Coffeyville,Midland Theatre,1928,700,"Midland Theatre, Coffeyville, KS",37.041170489487,-95.657620945847
KS,Hutchinson,Hutchinson's Historic Fox Theatre,1931,1221,"Hutchinson's Historic Fox Theatre, Hutchinson, KS",38.0705336,-97.9131009
KS,Concordia,Brown Grand Theatre,1907,534,"Brown Grand Theatre, Concordia, KS",39.5712388,-97.6634022
KS,Emporia,Emporia Granada Theatre,1929,823,"Emporia Granada Theatre, Emporia, KS",38.40772,-96.180417
KS,Junction City,C.L. Hoover Opera House,1881,453,"C.L. Hoover Opera House, Junction City, KS",39.029,-96.83109
KS,Manhattan,Wareham Hall,1910,NA,"Wareham Hall, Manhattan, KS",39.204999144964,-96.554928708724
KS,McPherson,McPherson Opera House,1888,550,"McPherson Opera House, McPherson, KS",38.36752,-97.6666904
KS,Strong City,1900 Theater,1900,NA,"1900 Theater, Strong City, KS",38.3962017,-96.5355782
KS,Pittsburg,Colonial Fox Theatre,1918,804,"Colonial Fox Theatre, Pittsburg, KS",37.411481,-94.705328
KS,Topeka,Georgia Neese Gray Performance Hall,1940,2417,"Georgia Neese Gray Performance Hall, Topeka, KS",39.050976,-95.670433
KS,Topeka,Historic Jayhawk Theatre,1926,1500,"Historic Jayhawk Theatre, Topeka, KS",39.050976,-95.670433
KS,Wamego,Columbian Theatre,1895,230,"Columbian Theatre, Wamego, KS",39.20297,-96.30547
KS,Wichita,Orpheum Theatre,1922,1305,"Orpheum Theatre, Wichita, KS",37.6880062,-97.3354465
KS,Winfield,Marquee Performing Arts Center,1950,400,"Marquee Performing Arts Center, Winfield, KS",37.241532,-96.997783
KY,Bowling Green,The Capitol,1898,800,"The Capitol, Bowling Green, KY",36.993738,-86.44082
KY,Cynthiana,Rohs Opera House,1871,NA,"Rohs Opera House, Cynthiana, KY",38.3886869,-84.2963574
KY,Frankfort,Grand Theatre,1941,416,"Grand Theatre, Frankfort, KY",38.198912,-84.878052
KY,Lexington,Lexington Opera House,1886,1027,"Lexington Opera House, Lexington, KY",38.0500067,-84.4992057
KY,Lexington,The Lyric Theatre & Cultural Arts Center,1948,530,"The Lyric Theatre & Cultural Arts Center, Lexington, KY",38.046088,-84.489309
KY,Paducah,Maiden Alley Cinema,NA,NA,"Maiden Alley Cinema, Paducah, KY",37.0875342,-88.5944859
LA,New Orleans,The Historic Carver Theater,1949,900,"The Historic Carver Theater, New Orleans, LA",29.96711,-90.076656
LA,Ruston,Dixie Center for the Arts,1928,650,"Dixie Center for the Arts, Ruston, LA",32.530156,-92.637669
LA,Shreveport,The Strand Theatre,1925,1614,"The Strand Theatre, Shreveport, LA",32.5101,-93.7498
ME,Augusta,Colonial Theater,1913,1277,"Colonial Theater, Augusta, ME",44.3177878,-69.7729654
ME,Ellsworth,The Grand,1938,400,"The Grand, Ellsworth, ME",44.541763,-68.422852
MD,Chestertown,The Garfield Center for the Arts,1928,150,"The Garfield Center for the Arts, Chestertown, MD",39.20849,-76.065381
MD,Easton,Avalon Theatre,1921,400,"Avalon Theatre, Easton, MD",38.773916,-76.068527
MD,Hagerstown,Maryland Theatre,1915,1281,"Maryland Theatre, Hagerstown, MD",39.641514,-77.721177
MA,Beverly,The Cabot,1920,800,"The Cabot, Beverly, MA",42.551465,-70.878902
MA,Foxboro,Orpheum Theatre,1926,396,"Orpheum Theatre, Foxboro, MA",42.356231,-71.060903
MA,Great Barrington,Mahaiwe Performing Arts Center,1909,690,"Mahaiwe Performing Arts Center, Great Barrington, MA",42.194282,-73.363436
MA,New Bedford,"Your Theatre, Inc.",1829,NA,"Your Theatre, Inc., New Bedford, MA",41.63543,-70.92846
MA,New Bedford,Zeiterion Theatre,1922,1226,"Zeiterion Theatre, New Bedford, MA",41.63405,-70.92766
MI,Adrian,Croswell Opera House,1866,652,"Croswell Opera House, Adrian, MI",41.8989299,-84.0352881
MI,Ann Arbor,Michigan Theater,1927,1710,"Michigan Theater, Ann Arbor, MI",42.279497,-83.741739
MI,Ann Arbor,State Theatre,1942,1900,"State Theatre, Ann Arbor, MI",42.2771,-83.7411
MI,Cheboygan,Cheboygan Opera House,1888,582,"Cheboygan Opera House, Cheboygan, MI",45.646571,-84.47663
MI,Coldwater,Tibbits Opera House,1882,499,"Tibbits Opera House, Coldwater, MI",41.94059,-85.004059
MI,Detroit,Alger Theatre,1935,825,"Alger Theatre, Detroit, MI",42.476368000487,-83.107007016943
MI,Grand Rapids,Wealthy Theatre,1911,400,"Wealthy Theatre, Grand Rapids, MI",42.955389,-85.640675
MI,Iron Mountain,Braumart Theatre,1924,500,"Braumart Theatre, Iron Mountain, MI",45.817705,-88.066434
MI,Kalamazoo,Kalamazoo State Theatre,1927,1590,"Kalamazoo State Theatre, Kalamazoo, MI",42.288566,-85.583361
MI,Manistee,Ramsdell Theatre,1901,450,"Ramsdell Theatre, Manistee, MI",44.24583,-86.32389
MI,Muskegon,Frauenthal Center,1929,1725,"Frauenthal Center, Muskegon, MI",43.235084,-86.253212
MI,Plymouth,Penn Theatre,1941,402,"Penn Theatre, Plymouth, MI",42.3704563,-83.4685414
MI,Saginaw,Temple Theatre,1927,1750,"Temple Theatre, Saginaw, MI",43.4347332,-83.9391068
MI,Sault Ste. Marie,Soo Theatre,1929,750,"Soo Theatre, Sault Ste. Marie, MI",46.4967,-84.3486
MI,Sturgis,Sturges-Young Center for the Arts,1955,370,"Sturges-Young Center for the Arts, Sturgis, MI",41.799278,-85.418699
